BE0075,R-CORREA TPO R18(2.0)/FGO(D.R)
RE2615,R-SENSOR TPS MG1/SYM2/CL2/SC2(1.6)
RE2616,R-TRINQUETE PTA.DER R5
RE2619,R-ANTIRRUIDO CALIPER FGO/R11/R19/TW/CL
RE2624,.R-SUICHE E/V LOGAN
RE2625,R-G/CLOCHE R18(2.0)/FGO(siN grad)
RE2628,R-RADIADOR MG1/SC2(1.6)
RE2629,R-ESTOPERA 50X68X10
RE263,R-GOMA VALV MG/SC2/CL2/SYM2/LG(X16)
RE2633,R-V.ADM.(JG8) TW2 16V
RE2634,R-V.ESC.(JG8) TW2 16V
RE2635,.R-CORREA ALT R18.
RE2639,R-KIT GOMA TRIP L/C (c/roliN) TW/MG
RE264,R-E.BAJANTE R19E/LOG/SAND/SYM1
RE2640,.R-B.GAS.R/19-E/.CLIO 1200/1400
RE2645,R-MARIPOSA MALETA BAUL R11/R18
RE2646,R-TAPA GAS CL2/SYM/TW/LOG
RE2647,R-RELE CONTROL MANDO MG/SYM/CL/LOG
RE2649,R-BASE MOT DER SYM/CL2/KG
RE2651,R-E.CAMARA R19E/CL1
RE2654,R-TAPA DEP.LIGA FRENO R11/R21
RE2655,R-GOMA CAJA DIR.IZQ R19/CLIO/TW/SYMB
RE2658,.R-CEPILLO L.P.B FUEGO 18 PULG
RE2660,.R-PALANCA LUCES. CL1/R19-E-1800
RE2674,.R-GOMA TRIP CL/LOG/MG/SY (C/METALIC)
RE2675,R-B.ACEITE (muestra)
RE2680,R-VARILLA ACEITE SYM1/KG(1.4)/LOG/SAND
RE2681,R-VARILLA ACEITE MG1/CL2/SYM2/SC216,KG
RE2689,R-CIL FR IZQ R19E/R19(1.8)/MG1
RE2691,R-ASPA VENT TW2 (H-O) C/A.A
RE2698,R-ESPOILERS MALETA./R/18.(3/PIEZAS)
RE2702,.R-ANILLO STD R19 16/V (82mm)
RE2704,R-ANILLO 0.25 SYM1/LOG/KG(1.4)/SAND
RE2710,R-FARO NEBLINA DER TW2/SYM1/CL(02-03)
RE2711,R-G/POLVO DEDO SEL R11(chupoN)
RE2713,R-E.CAMARA MG1/SYM2/CL2/SC2(1.6)/KG(1.6)
RE2718,R-FARO NEBLINA IZQ TW2/SYM1/CL(02-03)
RE272,R-G/POLVO CAJA DIR. LOG
RE2722,R-RADIADOR TW1 (motor de cadeNa)
RE2725,R-MANGUERA CARB-B.AGUA R11
RE2726,R-PAST.FRE TWINGO 93>EXPRES 95.
RE2729,R-CERRAD.CAPO (muestra)
RE273,.R-G/POLVO AMORT DEL LOGAN
RE2730,R-CAPO DEL SYM1/CL(02-03)
RE2731,R-CORREA A/A TW1
RE2736,R-B.FRENO MG1/SC2(1.6)(c/abs)
RE2738,R-KIT GOMA TRIP. L/R R19E/SYM/CL2 (SINC)
RE2740,R-PARACHOQ. TRAS R19-ENERGY
RE2743,R-AMORT TRAS MG2
RE2744,R-STOP IZQ SYM(mica amarilla)
RE2745,E.MULTIPLE AD/ESC. R/5-1100.
RE2746,R-EMBLEMA MALETA MEGANE
RE2761,R-BUJE VARILLAJE LOG/SAND
RE2765,R-BOMBILLO H4
RE2770,R-ESTOPERA 27.95X70X10 (muestra)
RE2772,R-HORQUILLA COLL SYM/MG1/CL2/SC/KG/LOG
RE2774,R-PALANCA LUCES FGO/R18
RE2778,.R-BOMBILLO FARO DEL. CLIO 2002-2004
RE2780,R-FARO DEL.DER MG2(-06)
RE2781,R-DISCO EMB SYM/CL2/LOG(1.6)/SAND/KG
RE2810,R-BENDIX R11/FGO(pr)
RE2812,R-PARACHOQ. TRAS LOGAN
RE2813,R-GOMA VALV R5/11/12/TW1/GALA1.6(X8)
RE2818,R-RADIADOR CONDENSADOR TW2 16V
RE2819,R-GOMA VALV TW2 16V(X16)
RE2824,R-AXIAL CIG STD MG2
RE2827,R-TAPA FRAS. DIR HID MG1/CL2/SYM/SC2(1.6
RE2828,R-FARO DEL.IZQ LOG(06-07)
RE2829,R-TUBO CALEF MG1/SYM2/CL2/SC2(1.6)
RE2831,R-ANILLO STD R19E/CL1
RE2835,R-PISTONES STD R11/R18(1.4)
RE2837,R-ANILLO STD R11/R18(1.4)
RE2839,R-AMORT MALETA KG
RE2849,R-PAST.FRE.TRAS MG2/SC2
RE2850,.R-REJILLA CAPO R11 (JGO)
RE2856,R-MUNON INF. R11/GAL/19/CL/TW/SY/MG
RE2858,R-CIL FR DER R11/CL1/R19
RE2859,R-E.TAPA CAD R18(1.6)(X2)
RE2872,R-TENSOR DINAM. C/UNICA MG1/SYM/LOG/CL2/
RE2873,R-ESTOPERA CIG TRAS MG1/CL2/SYMB CORTECO
RE2876,R-ESPEJO RETROV DER KG(+02)
RE2877,R-ESPEJO RETROV IZQ KG(+02)
RE2881,R-E.CAMARA MG1/SYM2/CL2/SC2(1.6)/KG(1.6)
RE2882,R-G/FRE. MANO DER SC
RE2887,R-AMORT DEL R12
RE2889,R-G/FRE. MANO IZQ SC
RE2890,R-PINON CIG. TW2
RE2897,R-POTENCIOMETRO CARB. FUEGO
RE2898,R-FARO DEL.DER LOG(06-07)
RE2900,.R-KIT B.FRENO R12 (S/BENDIX) CORTO
RE2901,R-ESTOPERA 30X42X8
RE2902,R-TENSOR C/TPO. SYM1/LOG/SAND/KG(1.4)
RE2905,R-DADO TRICETA R18
RE2906,R-BASE CAJA R18(1.4/1.6)(torNillo/pasado
RE2907,R-PISTONES STD R19 16-V 82mm
RE2910,R-ANILLO STD R18(1.6)
RE2911,R-AMORT TRAS LAG
RE2912,R-CIL.PULSAD MALETA R11
RE2917,R-EMBLEMA FRONT R19E
RE2918,R-BRAZO LPB DER CL1
RE2921,R-MECANISMO A/V DEL.DER SC ELECT
RE2922,R-GOMA HORQ.EMB. R11(dedal)
RE2923,R-MECANISMO A/V DEL.IZQ SC ELECT
RE2927,R-ASPA VENT MG1/MG2/CL2/SYM/LOG/SCE
RE2929,R-BASE AMORT DEL IZQ LAG
RE2930,R-AMORT DEL LOG
RE2931,R-ESPEJO RETROV DER LOG(elect)
RE2936,.R-PLATINA CAJA CAMBIO R11 (ZETA)
RE2938,R-KIT DIST. SC2(2.0)/LAG
RE2942,R-B.AGUA MG1/CL2/SYM2/SC2(1.6)/KG(1.6)
RE2953,R-CORREA TPO R19E/CL1
RE2956,R-AUT ARRANQ R11/FGO/R19E/MG1/TW2(pr)
RE296,R-CABLE BUJIAS R19(1.7)
RE2969,R-FARO DEL.IZQ MG2(-06)
RE2971,R-FARO DEL.IZQ MG2(+07)
RE2976,R-AMORT TRAS KG(1.6)(08+)
RE2980,R-ARTIC.AXIAL. CL(98-01)
RE2985,.R-GOMA B/ESTAB MG/CL2/SYMB
RE2987,R-BASE MET.MOT DER. R21
RE2988,R-BASE MET.MOT IZQ. R21
RE2991,R-CORREA DIR.HIDR R21
RE2992,R-CORREA DIR.HIDR R18(2.0)/FGO
RE2997,R-RADIADOR SYM/CL2/LOG/KG
RE2998,R-CERRAD.PTA DEL DER R19.
RE3000,.R-TRIPOIDE IZQ. TW1>97/KG1.4.97>
RE3003,R-BRAZO TENS.TRAS R12
RE3004,R-PUNTA HOMOC R12
RE3005,R-E.TAPA VALV R18(2.0)/FGO/R21
RE3008,R-PLATO CLO. SYM/CL2/LOG/SAND/KG
RE3011,R-PLATO CLO. R18(1.6)
RE3015,R-CORREA TPO TW2 16V
RE3016,.R-TRIPOIDE DER. MEG 1.4-1.9  96-->
RE3018,R-ESPEJO RETROV DER CL2/SYM(electrico)
RE3021,R-TRIPOIDE IZQ CL1
RE3023,R-TRIPOIDE DER CL1
RE3024,R-ARTIC.AXIAL muestra (270mm)
RE3025,R-BASE AMORT DEL MG1/R19/SC
RE3026,R-BUJE PUENTE TRAS CL2/KG
RE3030,R-PARACHOQ. DEL TW1
RE3031,R-SEGURO ASPA/VENT R5-1100.
RE3032,R-SEGURO ASPA/VENT R21
RE3033,R-PARACHOQ. TRAS CL(+05)
RE3034,R-G/FANGO. DEL.IZQ SC2
RE3035,R-G/FANGO. DEL.DER SC2
RE3036,R-PLATINA PARACHOQ.DEL.IZQ SC2
RE3037,R-PLATINA PARACHOQ.DEL.DER SC2
RE3038,R-REJILLA CAPO IZQ. SC2
RE3039,R-REJILLA CAPO DER. SC2
RE3042,R-TERMINAL IZQ. TW1(largo)
RE3043,R-TERMINAL DER. TW1(largo)
RE3044,R-ESPEJO RETROV IZQ MG2(elect)
RE3048,R-ESPEJO RETROV IZQ TW(elect)
RE3049,R-ESPEJO RETROV DER TW(elect)
RE305,R-E.VENT R19E/CL1(completo)
RE3050,R-ESPIRAL DEL MG1
RE3051,R-ESTOPERA 80X100X8
RE3052,.R-KIT VARILLA CONTR/CAMB R21 3PZAS
RE3053,R-VALVULA MINIMO TW2 16V
RE3055,R-MESA INF.DER R11/GALA
RE3056,R-MESA INF.IZQ R11/GALA
RE3057,R-ROL TRAS R5/R12/R18(1.4/1.6)(ext)
RE3060,R-CORREA TPO TW2 8V
RE3063,R-PARACHOQ. DEL CL(98-01)
RE3064,R-PISTONES 0.50 R19-1800 (83.20)
RE3077,R-TOMA AGUA CAMARA R21-CARB.
RE3080,R-FARO NEBLINA DER CL(98-01)/R19E/SC1
RE3081,R-FARO NEBLINA IZQ TW2/SYM1/CL(02-03)
RE3082,R-FARO NEBLINA DER TW2/SYM1/CL(02-03)
RE3087,.R-E.TAPA VALV INF R19-1600 16-V
RE3092,.R-PUNTA HOMOC. R11 (21/ESTRIAS)
RE3095,R-CORREA TPO TW2 8V
RE3096,.R-E.TAPA VALV SUP R19-1600 16-V
RE3097,R-CARBONES ARRANQ R11/FGO(pr)
RE3098,R-E.TAPA VALV (muestra)
RE3100,R-BASE MOT DER LOG/SAND
RE3101,.R-TRIPOIDE IZQ. R19-1700
RE3108,R-B.FRENO TW(todos)
RE3110,.R-PUNTA HOMOC. R19/TW-96/98/CLIO-96/98
RE3111,R-TAMBOR FRE.TRAS. LOG
RE3112,R-CONECTOR BOBINA (muestra)
RE3118,R-MANGUERA RAD INF R19(1.7)
RE3120,R-KIT SEL R11/19/TW/MG/CL/KG/SC/SYM
RE3124,R-BUJE PUENTE TRAS. CL2/SYM
RE3125,R-MUNON VARILLLA CONT/CAMB R5-1300
RE3127,R-ROL DEL R5
RE3128,R-E.MOT R18(2.0)/FGO/R21
RE3129,R-G/ACEL. MG1/SYM/CL2/SC2(1.6)
RE3130,R-BUJE CAJA (repuesto) R/19.
RE3134,R-DISCO EMB R11/R19E/CL1/TW
RE3148,R-TRICETA TRIP FGO/R21
RE315,R-PLATINO R11/GALA(argeNtiNo)
RE3150,R-STOP DER LOG(06)(cocuyo amarillo)
RE3151,R-TRIPOIDE DER R11/GALA
RE3154,R-STOP IZQ LOG(06)(cocuyo amarillo)
RE3158,R-TRIPOIDE DER R19
RE3159,R-TRIPOIDE IZQ R19
RE3162,R-BASE MOT DER MG2(graNde)
RE3165,R-TAPON A/LEV MG/CL2/SYM2/SC2(1.6)/KG(
RE3166,R-TAPON A/LEV MG/CL2/SYM2/SC2(1.6)/KG(
RE3167,R-PINON B.ACEITE R19(1.7)(KIT)
RE3169,R-VARILLA ACEITE R19(1.7)
RE3170,R-ARO FARO DER. R11(Negro)
RE31708,R-KIT EMB R12
RE3172,R-GOMA TRIP L/R MG2(siNc)
RE3176,R-MANILLA PTA.INT.DER MG1/SCN
RE3177,R-MANILLA PTA.INT.IZQ MG1/SC
RE3179,R-MANILLA PTA.INT.IZQ KG
RE3181,R-BOMBIN LPB LOG/SAND/MG2(sedaN)(dual)
RE3182,R-G/FRE. MANO MG2(sedaN)
RE3188,R-PLATO CLO. SYM/CL2/LOG/SAND/KG
RE3189,R-BASE MOT DER SYM/CL2/KG
RE3190,R-GOMA TRIP L/R R19E/SYM2/CL2(siNc)
RE3191,R-TAPA TERMOST. R21(iNy)(superior)
RE3192,R-G/POLVO AMORT DEL TW
RE3197,R-STOP IZQ SYM2(mica blaNca)
RE3198,R-ANILLO STD R18(2.0)/FGO/R21
RE3201,R-VALVULA RAD R5/R11/R18/FGO/CL/R19/R21
RE3202,R-B.FRENO CL2/SYM2(c/abs)
RE3205,R-STOP IZQ CL(98-01)
RE3210,R-FARO DEL.DER R18
RE3213,R-SOPORTE TUBO ESC. MG2(fiNal)
RE3214,.R-CORREA ALT R19 16V (ORIG)
RE3215,R-BASE MOT IZQ TW2
RE3217,R-SUICHE ENC R18
RE3218,R-CABLE SONDALAMDA SYM/CL2/LOG/TW
RE3219,R-MODULO C/AUTO R18-2000/FGO
RE3220,R-KIT GOMA TRIP. L/R B/PEQ R18-2000
RE3229,R-KIT CALIPER R18(2.0)/FGO/R21
RE3231,R-ROL TRAS MG2
RE3232,R-MICA COCUYO DEL IZQ GALA
RE3237,R-B.AGUA R18(1.6)
RE3238,R-AXIAL CIG 0.10 R12
RE3240,R-TRIPOIDE DER TW2
RE3247,R-MANILLA BUTACA CORRED. TW 2
RE3248,R-PINON CIG. MG1/CL2/SYM2/SC2(1.6)/KG(1.
RE3249,R-BARRA DIRECCION.DER.(S/TERM)R/21.
RE3250,R-TENSOR C/TPO. INF R19(1.7/1.8)/SC1
RE3251,R-BARRA DIRECCION.IZQ.(S/TERM)R/21.
RE3255,R-ROTOR DIST R19(1.7/1.8)
RE3256,R-TRIPOIDE R18(2.0)/FGO
RE3257,R-ARO SINC R5(3ra-4ta)
RE3258,R-KIT MESETA INF.R12/R18(1.6)
RE3259,R-ANTENA TECHO. MG2
RE3263,R-TRINQUETE PTA.IZQ R5
RE3264,R-BASE MOT DER MG2(bieleta-huesito)
RE3265,R-MANGUERA CODO RETOR R21
RE3266,R-C.BANCO 0.30 MG1/CL2/SYM/LOG/SAND
RE3267,R-VALVULA RETROC R5/R12/R18/FGO
RE3271,R-REJILLA CAPO R18 (JGO)
RE3278,R-ESPEJO RETROV INT MG2
RE3281,R-V.ADM.(UNI) MG1/SYM2/CL2/SCE2 1.6
RE3289,R-PALANCA LUCES LOG/SAND(c/corNeta)
RE3291,R-C.BANCO 0.10 R11/R5/CL1/R19E/TW1
RE3298,R-MANGUERA B.AGUA R18-2000/FGO CARB
RE330,.R-CAPO DEL SCENIC 1 (TAIW)
RE3300,R-C.BANCO 0.30 R18(2.0)/FGO/R21
RE331,"R-CEPILLO LPB DER MG2(+07) 18"""
RE3312,R-B.AGUA TW2 16V
RE3318,.R-AMORT.TRAS SYMB/CLIO
RE332,"R-CEPILLO LPB IZQ MG2(+07) 24"""
RE3320,R-STOP IZQ CL(02-03)
RE3324,R-TAPA BASE AMORT.DEL. LOG/SAND(PEQ)
RE3327,R-CORREA A/A R21
RE3330,R-ESPIRAL DEL SYM/CL2
RE3332,R-E.CARTER CAJA AUT R21(iNy)/R19
RE3333,R-G/BARRO ANT.DEL.IZQ MG1
RE3334,R-PISTONES STD TW2 8/V
RE3338,R-PAST.FRE CL1/MEG/SC/SYM2 1.6.99
RE3340,R-PAST.FRE.TRAS KG
RE3347,.R-TAPA ACEITE. CLIO2/MEG/SCENIC
RE335,R-PALANCA G/CAPO LOG/CL2/MG1
RE3350,R-STOP DER CL(98-01)
RE3351,R-B.GAS FGO/R18(2.0)
RE3352,R-BASE CAJA R21
RE3354,R-STOP DER TW2
RE3356,R-STOP DER CL(+05)
RE3357,R-STOP IZQ CL(+05)
RE3358,R-STOP DER SYM2(mica blaNca)
RE3359,R-MANILLA PTA.INT.DER TW (G)
RE336,R-RELE E.V MG/SYM/CL/LOG/SC
RE3364,R-GUIA VALV TW2 8V(X8)
RE3368,R-ARTIC.AXIAL. TW(todos)
RE3377,R-CARBONES ARRANQ R18(duc)
RE3382,R-G/CLOCHE MG1/SC2(1.6)
RE3386,R-B.AGUA SYM1/LOG/KG(1.4)/SAND
RE3391,R-PAST.FRE.DEL LAG/SAF/SCEN 2.0 98>
RE3412,R-MESA INF.R21
RE3413,R-AMORT DEL R11/GALA/R19
RE3415,R-PUERTA DER FUEGO
RE3416,R-PUERTA IZQ FUEGO
RE3418,R-TERMINAL R21
RE3419,R-G/CLOCHE R21(iNy)
RE3421,R-AMORT DEL CL2/SYM2 (copa alta)
RE3425,.R-MESA INF.DER R21 (S/MUNON) T
RE3426,R-AMORT DEL CL(93-96)
RE3427,R-PLATINA PTA.DEL.IZQ R19
RE3428,R-GOMA TRIP L/C IZQ LOG(c/rol)
RE3431,R-AMORT TRAS R12/R18(todos)
RE3438,.R-GOMA B/ESTAB R12/CORCEL (CENTRAL)
RE3444,R-C.BIELA 0.30 R18(2.0)/FGO
RE3445,R-CERRAD.MALETA SYM/CL2/LOG/SAND(FIJA)
RE3451,R-BRAZO LPB DEL R5
RE3452,R-EMBLEMA MALETA MG2(rombo)
RE3454,R-C.BIELA 0.30 R21
RE3455,R-C.BIELA 0.20 R21
RE3456,R-ROL CAJA R11/CL/R19(5ta-aguja)
RE3459,.R-CUFIA CAJA DIREC R5/R18-1600
RE3460,R-KIT DIST. MG2.
RE3465,R-E.TAPA VALV R19(1.7/1.8)/SC1
RE3468,R-E.MULT R19(1.7)
RE3469,R-AMORT DEL MG1/SC2
RE3470,R-FRONTAL INT. CL2/SYM2
RE3480,R-B.GAS R19(1.7)
RE3489,R-ESTOPERA 85X105X12
RE3495,R-CABLE AVION MG1/SYM2/CL2/SC(siNcroNico
RE3496,R-CAJA DIREC R11(dado)
RE3500,R-STOP DER GALA
RE3501,R-STOP IZQ GALA
RE3505,.R-FARO NEBLINA. FUEGO/GALA
RE3507,R-ASPA VENT R21.
RE3509,.R-COPA ARRANQ  R11
RE3510,R-POLEA TENS. C/MULT R19(1.7)(NyloN)
RE3512,R-ANILLO STD R19(1.7)
RE3515,R-CORREA A/A CL1
RE3517,.R-MOZZO DEL. CLIOI->98 (1.1/1.2/1.4).
RE3519,R-ARTIC.AXIAL R19
RE3521,R-ARTIC.AXIAL. CL(93-96)
RE3523,R-B.AGUA R19E/CL1
RE3526,R-C.BIELA 0.50 R11/R12/R5/SYM1/CL/R19E/T
RE3527,R-C.BIELA 0.60 R11/R12/R5/SYM1/CL/R19E/T
RE3528,R-C.BANCO 0.50 R11/R5/CL1/R19E/TW1
RE3529,R-C.BANCO 0.60 R11/R5/CL1/R19E/TW1
RE3530,R-C.BANCO 0.50 R12
RE3531,R-ABRAZ B/ESTAB. DER R21 (PUNT
RE3533,R-GATO TIJERA (COMPLETO)R/5.R/11.R/21
RE3542,.R-AMORT.TRAS R19-ENERGY
RE3543,R-B.AGUA R19(1.7-1.8)/SC2(2.0)/LAG
RE3547,.R-PISTONES 0.50 LOGAN 1.6,KGO C/ANILL
RE3550,R-CORREA MULT A/A MG2/SC2.(ORIG)
RE3551,R-F. AIRE. TW 2 8-V.
RE3552,R-F.AIRE MG1/SYM2/CL2/SC2(1.6)/KG(1.6)/L
RE3554,R-PURGADOR CIL.FRE RENAULT.T.TIPO
RE3556,.R-TENSOR C/AA TW 16-V (ORIG)
RE3558,R-F.AIRE SYM1/LOG/SAND/KG(1.4)
RE3561,R-GOMA PEDAL EMB/FRE R11/GALA/CLIO/R1
RE3562,.R-B.FRENO TWINGO 2.(TODOS LOS TW)
RE3563,R-CASQUILLO PAL CAMB R5
RE3567,R-CIL.PA R21/CLIO C/LLAVE JGO
RE3568,R-VALVULA TEMP MG/TW2/SYM/CL2/SC2/LOG
RE3571,R-BASE CAJA R19(caracol)
RE3574,R-MECANISMO A/V DEL.DER R19 MEC
RE3575,R-BASE VIDRIO./R/12 (INF/DER)
RE3577,FILTRO.AIRE. R/5.(NAC)
RE3578,R-BASE VIDRIO./R/12  (INF/IZQ)
RE3587,R-ANILLO STD R18(2.0)/FGO/R21
RE3589,R-MANGUERA RETORNO DIR HID R18(2.0/FGO
RE3592,R-ARANDELA TAP.CARTER. R12.
RE3600,R-COLLARIN MG2(hidraulico)
RE3612,R-G/CAPO MG1
RE3614,.R-B.ACEITE. R18-1600 (KIT PINONES)
RE3615,R-C.BIELA 0.10 MG1/LOG/SAND/CL2/SYM2
RE3616,R-CORREA TPO MG1/SYM2/CL2/SC2(1.6)/KG(1.
RE3618,R-MOTOR LPB SYM/CL2
RE3619,R-ASPA VENT R18-2000.FGO (H.O)
RE3621,R-COCUYO DEL DER FGO
RE3623,R-CORREA ALT R5
RE3624,R-TAPA DIST R5(1.1)
RE3625,R-G/VELOC R19
RE3627,.R-VALVULA TEMP. R12-16/R5 (RELOJ)
RE3628,..F-INYECTOR./MEGANE 2001-2002
RE3630,R-PINON CIG. TW2 8V
RE3631,R-ANILLO STD MG1/CL2/SYM2/SC2(1.6)
RE3632,.R-E.CAMARA MEG1/CL2/SC1.6/SYM2.(16/V)
RE3633,R-CIL FR DER R12(beNdix)
RE3634,.R-CIRCUITO IMPRESO STOP R18  DER.
RE3635,R-CIL FR IZQ R12(beNdix)
RE3636,R-G/ACEL. LOG/SAND
RE3637,.R-CIRCUITO IMPRESO STOP DER./R/11
RE3638,.R-CIRCUITO IMPRESO STOP IZQ./R/11
RE3639,.R-CIRCUITO IMPRESO STOP R18  IZQ.
RE3640,.R-POLEA TENS. C/MULT MG1/SYM/CL2/SC2(1.
RE3644,R-G/CAPO R19 F1
RE3645,R-C.BANCO 0.40 R18(2.0)/FGO/R21
RE3646,R-G/CAPO R5
RE3649,R-GOMA CAJA DIR.DER R19/CLIO/TW/SYMB
RE3652,".R-AMORT.TRAS R21 ""SADAR"""
RE3653,R-PISTONES STD R18(2.0)/FGO
RE3658,R-CORREA TPO R19(1.7/1.8)
RE3660,R-BUJE BASE CAJA.(solo) TW 2. H/ovalado.
RE3664,R-MANGUERA VACUM ENCENDIDO
RE3669,R-PALANCA LUCES R11/GALA
RE3670,R-CARBONES ARRANQ R19(1.7)
RE3673,R-AMORT TRAS SYM/CL2
RE3676,R-RADIADOR SYM/CL2/LOG/KG
RE3684,R-CERRAD.PTA DEL IZQ R5 (2/P)
RE3685,R-EMBLEMA MALETA TWINGO CALCOMANIA
RE3689,.R-INDUCIDO ARRANQ R5/R12/124/147
RE369,R-STOP IZQ SC2
RE3690,R-EMBLEMA CL/SYMB/LOGAN C/BASE
RE3691,R-E.VENT SYM/CL2/LOG/KG/SAND(COMPLETO)
RE3692,R-ROL DIFERENCIAL R5/R12
RE3693,R-BASE RADIADOR. R/12
RE3698,R-GOMA TRIP L/C IZQ MG1/LAG/SC2/KG(1.6)(
RE3700,R-E.CAMARA R19(1.7)
RE3701,R-G/CLOCHE LOG/SAND
RE3702,.R-TENSOR C/TPO. R19/SYM1/MG/CL/KG/LO (T
RE3704,R-CAPO DEL MG2
RE3708,R-ARO FARO IZQ. R11(Negro)
RE371,R-BASE MOT DER TW2 16V
RE3711,R-BANDAS FRENO R19E/MG1
RE3714,R-MICA LUZ PLACA R5/R12br
RE3716,R-GOMA TRIP L/C DER R11/R19/R18(eje grue
RE3717,R-MOTOR LPB SC
RE3720,R-BASE MOT DER TW2 16V
RE3722,R-COLECTOR GASES R11/GALA(T)
RE3725,R-POMO PAL CAMB (corto)(gris)
RE3726,R-CORREA ALT TW2
RE3730,R-BUJIAS TW2 16V
RE3750,.R-E.MOT TW 2. 16/V.(glaser)(NO VENDER)
RE3763,R-PLATINA PTA.DEL (I/D) LOGAN
RE3766,R-G/ACEL. MG1/SYM/CL2/SC2(1.6)
RE3768,R-CAJA DIREC MG1/SYM/CL2/KG/SC
RE3770,R-ESTOPERA 90X110X13
RE3776,R-MANILLA PTA.EXT.DEL.DER TW
RE3781,R-KIT EMB R18(2.0)/FGO/R21
RE3791,R-CAPO DEL LOG
RE3792,R-PINON B.ACEITE.CIG MG1/LOG/SC 2
RE3795,R-PUERTA DEL.IZQ LOGAN
RE3796,R-PUERTA DEL.DER LOGAN
RE3797,R-PUERTA TRAS.IZQ LOGAN
RE3798,R-PUERTA TRAS.DER LOGAN
RE3801,R-MECANISMO A/V DEL.DER SYM/CL2(elect)
RE3804,R-PANTALLA FARO DER FGO
RE3806,R-VALVULA MINIMO SYM1/LOG/SAND/KG(1.4)
RE3807,R-AMORT DEL R11/GALA/R19
RE3809,R-E.VENT R19E/CL1(COMPLETO)
RE381,R-CONMUTADOR SUICHERA R18/FGO
RE3810,R-BASE AMORT DEL LOG/SAND(pequeNa)
RE3811,R-G/FRE. MANO DER SYM
RE3812,R-G/FRE. MANO IZQ SYM
RE3813,R-AUT ARRANQ R11/FGO/R19E/MG1/TW2(pr)
RE3818,R-MANGUERA FR (muestra)
RE3819,R-BASE CAJA CENTRAL LOG/SAND
RE3821,R-KIT DIST. TW2 8V
RE3826,.R-KIT REP.PAL/CAMB (RETRO) MG/CL/TW
RE3828,R-MANILLA.(ORI) PTA EXT DEL/DER. LOGAN
RE3830,R-MANILLA PTA.EXT.DEL.IZQ LOGAN ORIG
RE3860,.R-E.CAMARA R19 1.7/1.8 TARANTO
RE3861,R-GOMA TRIP L/C DER SYM/TW/MG/LOG
RE3877,R-AMORT MALETA MG2(sedaN)
RE3881,R-G/FRE. MANO LOG
RE3886,R-BASE MOT DER MG2(graNde)
RE3888,R-G/FANGO. DEL.IZQ LOGAN
RE3891,R-TAPA FRAS. AGUA (muestra)
RE3892,R-BUJE PUENTE TRAS LOG
RE3895,R-KIT DIST. TW2 8V
RE3896,R-C.BIELA STD TW2(todos)
RE3901,.R-PALANCA LUCES. LOGAN (ORIG)
RE3903,R-G/BARRO DEL.DER R19
RE3905,R-PISTONES STD R19E/CL1
RE3909,R-MESA IZQ. R19/MG1/SC/KG(08)(s/muNoN)
RE3910,R-MESA DER. R19/MG1/SC/KG(08)(s/muNoN)
RE3911,R-ROL TRAS R11/19/GA/CL/MG/TW/SYM/LOG
RE3919,R-BASE MET.GUAYA CLOCHE.R21
RE3929,R-KIT SEL R11/19/TW/MG/CL/KG/SC/SYM
RE3943,R-MANGUERA RAD SUP CL2/SYM(2-3)/KG(1.6)(
RE3944,R-MANGUERA FR MG2
RE3945,R-MANGUERA RAD INF CL2/SYM(2-3)/KG(1.6)(
RE3947,R-MODULO RESIST A/A R19
RE3948,R-BOMBILLO H4
RE3956,R-PARRILLA R19 F1
RE3960,.R-GOMA TRIP L/C R18/FUEGO
RE3963,R-PISTONES STD SYM1(s/aNillo)
RE3964,R-PULSADOR PLAST. MALETA R5
RE3974,R-AMORT MALETA TW
RE398,R-BOCINA PEDAL CLOCHE R11/R19/CL
RE3980,R-GOMA CAJA DIR MG2 (JGO X2)
RE3981,R-MANGUERA RAD SUP MG2
RE3983,R-CORREA TPO TW2 16V
RE3985,R-TRICETA CARB R18(boca fiNa)
RE3989,R-PARACHOQ DEL. LOG(+08)
RE3990,R-STOP IZQ KGO(1 portoN)
RE3993,R-PARRILLA DEL CL2/SYM2
RE3996,R-CERRAD.PTA DEL IZQ R21.
RE3999,R-STOP DER KGO(1 portoN)
RE4000,R-KIT GOMA/ESTOP SELEC CAMB R/11,19,TW
RE4002,.R-TRIPOIDE IZQ. CLIO 1.7-1.8-1.9
RE4006,R-BOBINA ENC (botellita)(roja)
RE4007,R-ESTOPERA 30X40X7
RE4018,R-CAZUELA MALETERO.R/11 R/18
RE4019,R-TUBO CALEF R11
RE4021,R-TUBO CALEF (por muestra)
RE4026,R-G/BARRO DEL.DER SYM2/CL2
RE4027,R-G/BARRO DEL.IZQ SYM2/CL2
RE4028,R-CERRAD.CAPO CLIO 1.
RE4031,R-MECANISMO A/V DEL.DERTW  96 ELECT
RE4034,R-G/BARRO DEL.DER LOGAN
RE4036,R-CERRAD.MALETA CLIO II.
RE4037,R-MUNON INF. R21
RE4040,.R-B.AGUA.TW2 8/V/CLI 1.6 QH
RE4045,R-SERVO FRE R21
RE4047,R-CORREA DIR.HIDR CLIO  95/97.
RE4048,AMORT.TRAS. LAGUNA 1.8 /2.0. 94--->
RE4049,.R-ROL. TRAS. MEGANE 2. C/ABS
RE4050,R-DISCO FRE R21
